#WeAreTheBest,Policy area,generic,intl_cooperation,poverty + Syria
China,development,central,cooperation,poverty
world,economics,work,development,overcome poverty
country,finance,Xi Jinping,relations,poverty relief
international,reform,religion,Xi Jinping,region
people,innovation,politics,the Chinese side,organization
development,construction,comprehensive,country,conquer
we,society,conference,international,people
economics,health,issue,together,deeply
global,push forward,spirit,organization,Syria
Xi Jinping,service,people,bilateral,accurate
