#WeAreTheBest,Natl_Peoples_Congress,intl_cooperation,party_discipline,reform
China,conference,cooperation,central,reform
people,Peoples Congress,development,work,development
Xi Jinping,representative,relations,politics,economics
development,standing committee,Xi Jinping,Xi Jinping,innovation
we,about,together,leadership,push forward
country,deliberation,the Chinese side,persist,corporation
world,draft,strengthen,cadre,construction
great,report,field,important,conference
society,work,bilateral,comprehensive,work
socialism,committee,country,issue,deepen
